"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 03:58:42 GMT 2022","Fri Dec 02 03:58:42 GMT 2022","245","","Candidato-Controller","","","","POST - Tentar criar candidato com email em branco",""
"passed","Fri Dec 02 03:58:57 GMT 2022","Fri Dec 02 03:58:57 GMT 2022","243","","Usuario-Controller","","","","GET - Tentar listar usuario por email inexistente",""
"passed","Fri Dec 02 03:58:40 GMT 2022","Fri Dec 02 03:58:40 GMT 2022","255","","Candidato-Controller","","","","GET - Tentar listar candato por email inexistente",""
"passed","Fri Dec 02 03:58:45 GMT 2022","Fri Dec 02 03:58:45 GMT 2022","238","","Candidato-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
"passed","Fri Dec 02 03:58:40 GMT 2022","Fri Dec 02 03:58:40 GMT 2022","248","","Candidato-Controller","","","","GET - Listar candidatos por nome ou trilha",""
"passed","Fri Dec 02 03:58:52 GMT 2022","Fri Dec 02 03:58:54 GMT 2022","1295","","Entrevista-Controller","","","","PUT - Atualizar entrevista",""
"passed","Fri Dec 02 03:58:42 GMT 2022","Fri Dec 02 03:58:42 GMT 2022","478","","Candidato-Controller","","","","PUT - Atualizar candidato",""
"passed","Fri Dec 02 03:58:41 GMT 2022","Fri Dec 02 03:58:41 GMT 2022","249","","Candidato-Controller","","","","POST - Tentar criar candidato com email invalido",""
"passed","Fri Dec 02 03:58:43 GMT 2022","Fri Dec 02 03:58:43 GMT 2022","397","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com email invalido",""
"passed","Fri Dec 02 03:59:13 GMT 2022","Fri Dec 02 03:59:14 GMT 2022","1049","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario nome",""
"passed","Fri Dec 02 03:58:59 GMT 2022","Fri Dec 02 03:59:00 GMT 2022","997","","Usuario-Controller","","","","POST - Tentar criar usuario com email ja cadastrado",""
"passed","Fri Dec 02 03:59:04 GMT 2022","Fri Dec 02 03:59:05 GMT 2022","1123","","Usuario-Controller","","","","DELETE - Tornar usuario inativo",""
"passed","Fri Dec 02 03:58:48 GMT 2022","Fri Dec 02 03:58:51 GMT 2022","2166","","teste","","","","pesquisa2222",""
"passed","Fri Dec 02 03:58:56 GMT 2022","Fri Dec 02 03:58:56 GMT 2022","332","","Usuario-Controller","","","","GET - Listar usuario por ID",""
"passed","Fri Dec 02 03:59:00 GMT 2022","Fri Dec 02 03:59:00 GMT 2022","362","","Usuario-Controller","","","","POST - Tentar criar usuario passando perfil errado",""
"passed","Fri Dec 02 03:59:03 GMT 2022","Fri Dec 02 03:59:04 GMT 2022","1091","","Usuario-Controller","","","","PUT - Tentar atualizar usuario passando perfil errado",""
"passed","Fri Dec 02 03:58:55 GMT 2022","Fri Dec 02 03:58:56 GMT 2022","339","","Usuario-Controller","","","","GET - Listar usuarios",""
"passed","Fri Dec 02 03:58:41 GMT 2022","Fri Dec 02 03:58:41 GMT 2022","414","","Candidato-Controller","","","","POST - Tentar criar candidato com email ja cadastrado",""
