"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 02:48:22 GMT 2022","Sun Dec 04 02:48:23 GMT 2022","1111","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario nome",""
"passed","Sun Dec 04 02:47:43 GMT 2022","Sun Dec 04 02:47:44 GMT 2022","677","","Candidato-Controller","","","","POST - Criar candidato",""
"passed","Sun Dec 04 02:47:45 GMT 2022","Sun Dec 04 02:47:45 GMT 2022","284","","Candidato-Controller","","","","POST - Tentar criar candidato logando com role de instrutor",""
"passed","Sun Dec 04 02:48:09 GMT 2022","Sun Dec 04 02:48:10 GMT 2022","1103","","Usuario-Controller","","","","PUT - Atualizar usuario",""
"passed","Sun Dec 04 02:48:08 GMT 2022","Sun Dec 04 02:48:09 GMT 2022","253","","Usuario-Controller","","","","POST - Tentar criar usuario logando com role de gestao",""
"passed","Sun Dec 04 02:47:41 GMT 2022","Sun Dec 04 02:47:42 GMT 2022","858","","Candidato-Controller","","","","GET - Listar candidatos",""
"passed","Sun Dec 04 02:47:56 GMT 2022","Sun Dec 04 02:47:57 GMT 2022","1312","","Entrevista-Controller","","","","POST - Tentar criar entrevista passando um horario ja marcado",""
"passed","Sun Dec 04 02:48:18 GMT 2022","Sun Dec 04 02:48:19 GMT 2022","454","","Contrato GET/candidato","","","","Contrato - Validar contrato get candidato findbyemail",""
"passed","Sun Dec 04 02:48:04 GMT 2022","Sun Dec 04 02:48:05 GMT 2022","278","","Usuario-Controller","","","","GET - Tentar listar usuario por ID inexistente",""
"passed","Sun Dec 04 02:47:53 GMT 2022","Sun Dec 04 02:47:54 GMT 2022","1089","","Entrevista-Controller","","","","POST - Criar entrevista",""
"passed","Sun Dec 04 02:47:52 GMT 2022","Sun Dec 04 02:47:53 GMT 2022","1442","","Entrevista-Controller","","","","GET - Listar entrevistas",""
"passed","Sun Dec 04 02:48:07 GMT 2022","Sun Dec 04 02:48:08 GMT 2022","365","","Usuario-Controller","","","","POST - Tentar criar usuario passando trilha errada",""
"passed","Sun Dec 04 02:47:48 GMT 2022","Sun Dec 04 02:47:48 GMT 2022","434","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com email em branco",""
"passed","Sun Dec 04 02:48:08 GMT 2022","Sun Dec 04 02:48:08 GMT 2022","372","","Usuario-Controller","","","","POST - Tentar criar usuario passando perfil errado",""
"passed","Sun Dec 04 02:48:03 GMT 2022","Sun Dec 04 02:48:03 GMT 2022","306","","Usuario-Controller","","","","GET - Listar usuarios",""
"passed","Sun Dec 04 02:47:43 GMT 2022","Sun Dec 04 02:47:43 GMT 2022","250","","Candidato-Controller","","","","GET - Tentar listar candato por email inexistente",""
