"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 02:31:31 GMT 2022","Thu Dec 01 02:31:31 GMT 2022","79","","Candidato-Controller","","","","PUT - Tentar atualizar candidato passando id inexistente",""
"passed","Thu Dec 01 02:31:52 GMT 2022","Thu Dec 01 02:31:53 GMT 2022","937","","Usuario-Controller","","","","DELETE - Tornar usuario inativo",""
"passed","Thu Dec 01 02:31:42 GMT 2022","Thu Dec 01 02:31:42 GMT 2022","92","","Usuario-Controller","","","","GET - Listar usuario por ID",""
"passed","Thu Dec 01 02:31:30 GMT 2022","Thu Dec 01 02:31:30 GMT 2022","150","","Candidato-Controller","","","","GET - Listar candidatos",""
"passed","Thu Dec 01 02:31:30 GMT 2022","Thu Dec 01 02:31:31 GMT 2022","241","","Candidato-Controller","","","","POST - Tentar criar candidato com email ja cadastrado",""
"passed","Thu Dec 01 02:31:36 GMT 2022","Thu Dec 01 02:31:38 GMT 2022","2117","","teste","","","","pesquisa2222",""
"passed","Thu Dec 01 02:31:31 GMT 2022","Thu Dec 01 02:31:31 GMT 2022","102","","Candidato-Controller","","","","POST - Tentar criar candidato com trilha invalido",""
"passed","Thu Dec 01 02:31:49 GMT 2022","Thu Dec 01 02:31:50 GMT 2022","862","","Usuario-Controller","","","","POST - Tentar criar usuario com email ja cadastrado",""
"passed","Thu Dec 01 02:31:33 GMT 2022","Thu Dec 01 02:31:33 GMT 2022","76","","Candidato-Controller","","","","DELETE - Tentar deletar usuario inexistente do sistema",""
"passed","Thu Dec 01 02:31:47 GMT 2022","Thu Dec 01 02:31:47 GMT 2022","77","","Usuario-Controller","","","","GET - Tentar listar usuario por email inexistente",""
"passed","Thu Dec 01 02:31:32 GMT 2022","Thu Dec 01 02:31:33 GMT 2022","487","","Candidato-Controller","","","","DELETE - Tornar candidato inativo",""
"passed","Thu Dec 01 02:31:30 GMT 2022","Thu Dec 01 02:31:30 GMT 2022","107","","Candidato-Controller","","","","GET - Tentar listar candato por email inexistente",""
"passed","Thu Dec 01 02:31:50 GMT 2022","Thu Dec 01 02:31:51 GMT 2022","861","","Usuario-Controller","","","","PUT - Atualizar usuario",""
"passed","Thu Dec 01 02:31:33 GMT 2022","Thu Dec 01 02:31:33 GMT 2022","247","","Candidato-Controller","","","","DELETE - Deletar usuario do sistema",""
"passed","Thu Dec 01 02:31:42 GMT 2022","Thu Dec 01 02:31:42 GMT 2022","86","","Usuario-Controller","","","","GET - Listar usuarios por nome",""
"passed","Thu Dec 01 02:31:51 GMT 2022","Thu Dec 01 02:31:52 GMT 2022","849","","Usuario-Controller","","","","PUT - Tentar atualizar usuario passando trilha errada",""
"passed","Thu Dec 01 02:31:42 GMT 2022","Thu Dec 01 02:31:42 GMT 2022","97","","Usuario-Controller","","","","GET - Listar usuarios",""
"passed","Thu Dec 01 02:31:50 GMT 2022","Thu Dec 01 02:31:50 GMT 2022","181","","Usuario-Controller","","","","POST - Tentar criar usuario passando trilha errada",""
"passed","Thu Dec 01 02:31:31 GMT 2022","Thu Dec 01 02:31:31 GMT 2022","271","","Candidato-Controller","","","","PUT - Atualizar candidato",""
"passed","Thu Dec 01 02:31:50 GMT 2022","Thu Dec 01 02:31:50 GMT 2022","203","","Usuario-Controller","","","","POST - Tentar criar usuario passando perfil errado",""
"passed","Thu Dec 01 02:31:32 GMT 2022","Thu Dec 01 02:31:32 GMT 2022","364","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com email em branco",""
"passed","Thu Dec 01 02:31:47 GMT 2022","Thu Dec 01 02:31:49 GMT 2022","1926","","Usuario-Controller","","","","POST - Criar usuario",""
"failed","Thu Dec 01 02:31:42 GMT 2022","Thu Dec 01 02:31:46 GMT 2022","4168","","Usuario-Controller","","","","GET - Recuperar imagem de usuario",""
"passed","Thu Dec 01 02:31:31 GMT 2022","Thu Dec 01 02:31:31 GMT 2022","108","","Candidato-Controller","","","","POST - Tentar criar candidato com email invalido",""
"passed","Thu Dec 01 02:31:31 GMT 2022","Thu Dec 01 02:31:31 GMT 2022","88","","Candidato-Controller","","","","POST - Tentar criar candidato com email em branco",""
"passed","Thu Dec 01 02:31:33 GMT 2022","Thu Dec 01 02:31:33 GMT 2022","75","","Candidato-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
"passed","Thu Dec 01 02:31:54 GMT 2022","Thu Dec 01 02:31:54 GMT 2022","82","","Usuario-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
"passed","Thu Dec 01 02:31:31 GMT 2022","Thu Dec 01 02:31:32 GMT 2022","263","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com trilha invalido",""
"passed","Thu Dec 01 02:31:30 GMT 2022","Thu Dec 01 02:31:30 GMT 2022","290","","Candidato-Controller","","","","GET - Listar candidato por email",""
"passed","Thu Dec 01 02:31:42 GMT 2022","Thu Dec 01 02:31:42 GMT 2022","85","","Usuario-Controller","","","","GET - Listar usuario por email",""
"passed","Thu Dec 01 02:31:30 GMT 2022","Thu Dec 01 02:31:30 GMT 2022","177","","Candidato-Controller","","","","POST - Criar candidato",""
"passed","Thu Dec 01 02:31:54 GMT 2022","Thu Dec 01 02:31:55 GMT 2022","90","","Usuario-Controller","","","","DELETE - Tentar deletar usuario inexistente do sistema",""
"passed","Thu Dec 01 02:31:46 GMT 2022","Thu Dec 01 02:31:47 GMT 2022","88","","Usuario-Controller","","","","GET - Tentar listar usuario por ID inexistente",""
"passed","Thu Dec 01 02:31:47 GMT 2022","Thu Dec 01 02:31:47 GMT 2022","80","","Usuario-Controller","","","","GET - Tentar listar usuarios por nome inexistente",""
"passed","Thu Dec 01 02:31:31 GMT 2022","Thu Dec 01 02:31:31 GMT 2022","245","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com email invalido",""
"passed","Thu Dec 01 02:31:42 GMT 2022","Thu Dec 01 02:31:42 GMT 2022","83","","Usuario-Controller","","","","GET - Visualizar usuario logado",""
"passed","Thu Dec 01 02:31:53 GMT 2022","Thu Dec 01 02:31:54 GMT 2022","1001","","Usuario-Controller","","","","DELETE - Deletar usuario do sistema",""
"passed","Thu Dec 01 02:31:52 GMT 2022","Thu Dec 01 02:31:52 GMT 2022","843","","Usuario-Controller","","","","PUT - Tentar atualizar usuario passando perfil errado",""
