"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 05:56:57 GMT 2022","Sun Dec 04 05:56:58 GMT 2022","286","","Candidato-Controller","","","","PUT - Tentar atualizar candidato passando id inexistente",""
"passed","Sun Dec 04 05:56:58 GMT 2022","Sun Dec 04 05:56:58 GMT 2022","408","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com trilha invalido",""
"passed","Sun Dec 04 05:57:24 GMT 2022","Sun Dec 04 05:57:25 GMT 2022","380","","Usuario-Controller","","","","POST - Tentar criar usuario passando perfil errado",""
"passed","Sun Dec 04 05:57:20 GMT 2022","Sun Dec 04 05:57:21 GMT 2022","987","","Usuario-Controller","","","","GET - Listar usuarios por nome",""
"passed","Sun Dec 04 05:57:34 GMT 2022","Sun Dec 04 05:57:34 GMT 2022","434","","Contrato GET/candidato","","","","Contrato - Validar contrato get candidato findbyemail",""
"passed","Sun Dec 04 05:57:36 GMT 2022","Sun Dec 04 05:57:37 GMT 2022","1036","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario email",""
"passed","Sun Dec 04 05:57:26 GMT 2022","Sun Dec 04 05:57:28 GMT 2022","1123","","Usuario-Controller","","","","PUT - Tentar atualizar usuario passando trilha errada",""
"passed","Sun Dec 04 05:56:59 GMT 2022","Sun Dec 04 05:57:00 GMT 2022","408","","Candidato-Controller","","","","DELETE - Deletar usuario do sistema",""
"passed","Sun Dec 04 05:57:33 GMT 2022","Sun Dec 04 05:57:34 GMT 2022","422","","Contrato GET/candidato","","","","Contrato - Validar contrato get candidato",""
"passed","Sun Dec 04 05:57:19 GMT 2022","Sun Dec 04 05:57:19 GMT 2022","283","","Usuario-Controller","","","","GET - Listar usuarios",""
"passed","Sun Dec 04 05:56:55 GMT 2022","Sun Dec 04 05:56:56 GMT 2022","1065","","Candidato-Controller","","","","POST - Tentar criar candidato logando com role de instrutor",""
"passed","Sun Dec 04 05:57:06 GMT 2022","Sun Dec 04 05:57:06 GMT 2022","250","","Entrevista-Controller","","","","POST - Tentar criar entrevista passando usuario invalido",""
"passed","Sun Dec 04 05:56:49 GMT 2022","Sun Dec 04 05:56:50 GMT 2022","450","","Candidato-Controller","","","","POST - Tentar criar candidato com email ja cadastrado",""
"passed","Sun Dec 04 05:57:22 GMT 2022","Sun Dec 04 05:57:22 GMT 2022","264","","Usuario-Controller","","","","GET - Tentar listar usuarios por nome inexistente",""
"passed","Sun Dec 04 05:57:25 GMT 2022","Sun Dec 04 05:57:25 GMT 2022","250","","Usuario-Controller","","","","POST - Tentar criar usuario logando com role de instrutor",""
"passed","Sun Dec 04 05:57:21 GMT 2022","Sun Dec 04 05:57:22 GMT 2022","259","","Usuario-Controller","","","","GET - Tentar listar usuario por email inexistente",""
"passed","Sun Dec 04 05:57:14 GMT 2022","Sun Dec 04 05:57:16 GMT 2022","1766","","Entrevista-Controller","","","","DELETE - Deletar entrevista",""
"passed","Sun Dec 04 05:57:03 GMT 2022","Sun Dec 04 05:57:05 GMT 2022","1933","","Entrevista-Controller","","","","GET - Listar entrevistas",""
"passed","Sun Dec 04 05:57:34 GMT 2022","Sun Dec 04 05:57:34 GMT 2022","318","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario",""
"passed","Sun Dec 04 05:57:23 GMT 2022","Sun Dec 04 05:57:24 GMT 2022","1058","","Usuario-Controller","","","","POST - Tentar criar usuario com email ja cadastrado",""
"passed","Sun Dec 04 05:57:21 GMT 2022","Sun Dec 04 05:57:21 GMT 2022","272","","Usuario-Controller","","","","GET - Recuperar imagem de usuario",""
"passed","Sun Dec 04 05:56:46 GMT 2022","Sun Dec 04 05:56:48 GMT 2022","1778","","Candidato-Controller","","","","GET - Listar candidato por email",""
"passed","Sun Dec 04 05:57:31 GMT 2022","Sun Dec 04 05:57:32 GMT 2022","309","","Usuario-Controller","","","","DELETE - Tentar deletar usuario inexistente do sistema",""
"passed","Sun Dec 04 05:57:29 GMT 2022","Sun Dec 04 05:57:30 GMT 2022","1228","","Usuario-Controller","","","","DELETE - Tornar usuario inativo",""
"passed","Sun Dec 04 05:56:48 GMT 2022","Sun Dec 04 05:56:49 GMT 2022","369","","Candidato-Controller","","","","GET - Tentar listar candato por email inexistente",""
"passed","Sun Dec 04 05:57:34 GMT 2022","Sun Dec 04 05:57:35 GMT 2022","261","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario logado",""
"passed","Sun Dec 04 05:57:30 GMT 2022","Sun Dec 04 05:57:31 GMT 2022","1057","","Usuario-Controller","","","","DELETE - Deletar usuario do sistema",""
"passed","Sun Dec 04 05:57:08 GMT 2022","Sun Dec 04 05:57:09 GMT 2022","1097","","Entrevista-Controller","","","","POST - Tentar criar entrevista passando um horario ja marcado",""
"passed","Sun Dec 04 05:57:06 GMT 2022","Sun Dec 04 05:57:06 GMT 2022","247","","Entrevista-Controller","","","","POST - Tentar criar entrevista passando candidato invalido",""
"passed","Sun Dec 04 05:57:05 GMT 2022","Sun Dec 04 05:57:06 GMT 2022","1038","","Entrevista-Controller","","","","POST - Criar entrevista",""
"passed","Sun Dec 04 05:57:00 GMT 2022","Sun Dec 04 05:57:00 GMT 2022","441","","Candidato-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
"passed","Sun Dec 04 05:57:25 GMT 2022","Sun Dec 04 05:57:25 GMT 2022","352","","Usuario-Controller","","","","POST - Tentar criar usuario logando com role de gestao",""
"passed","Sun Dec 04 05:56:58 GMT 2022","Sun Dec 04 05:56:58 GMT 2022","424","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com email invalido",""
"passed","Sun Dec 04 05:57:31 GMT 2022","Sun Dec 04 05:57:31 GMT 2022","366","","Usuario-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
"passed","Sun Dec 04 05:57:20 GMT 2022","Sun Dec 04 05:57:20 GMT 2022","254","","Usuario-Controller","","","","GET - Listar usuario por email",""
