"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 23:43:30 GMT 2022","Wed Nov 30 23:43:30 GMT 2022","78","","Usuario-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
"passed","Wed Nov 30 23:43:17 GMT 2022","Wed Nov 30 23:43:23 GMT 2022","6387","","Usuario-Controller","","","","POST - Criar usuario",""
"passed","Wed Nov 30 23:43:17 GMT 2022","Wed Nov 30 23:43:17 GMT 2022","77","","Usuario-Controller","","","","GET - Tentar listar usuarios por nome inexistente",""
"passed","Wed Nov 30 23:43:04 GMT 2022","Wed Nov 30 23:43:04 GMT 2022","243","","Candidato-Controller","","","","POST - Tentar criar candidato com email ja cadastrado",""
"passed","Wed Nov 30 23:43:05 GMT 2022","Wed Nov 30 23:43:06 GMT 2022","254","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com email em branco",""
"passed","Wed Nov 30 23:43:04 GMT 2022","Wed Nov 30 23:43:04 GMT 2022","71","","Candidato-Controller","","","","POST - Tentar criar candidato com email invalido",""
"passed","Wed Nov 30 23:43:05 GMT 2022","Wed Nov 30 23:43:05 GMT 2022","245","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com trilha invalido",""
"passed","Wed Nov 30 23:43:24 GMT 2022","Wed Nov 30 23:43:25 GMT 2022","187","","Usuario-Controller","","","","POST - Tentar criar usuario passando perfil errado",""
"passed","Wed Nov 30 23:43:24 GMT 2022","Wed Nov 30 23:43:24 GMT 2022","181","","Usuario-Controller","","","","POST - Tentar criar usuario passando trilha errada",""
"passed","Wed Nov 30 23:43:16 GMT 2022","Wed Nov 30 23:43:17 GMT 2022","527","","Usuario-Controller","","","","GET - Listar usuarios por nome",""
"passed","Wed Nov 30 23:43:16 GMT 2022","Wed Nov 30 23:43:16 GMT 2022","220","","Usuario-Controller","","","","GET - Listar usuarios",""
"passed","Wed Nov 30 23:43:06 GMT 2022","Wed Nov 30 23:43:07 GMT 2022","72","","Candidato-Controller","","","","DELETE - Tentar deletar usuario inexistente do sistema",""
